Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
11617,Tungurahua,Confirmed,Isotopic,14C (uncalibrated),3,350,,,,,
11274,"Ruiz, Nevado del",Confirmed,Isotopic,14C (uncalibrated),3,350,,,,,
12416,Pelee,Confirmed,Isotopic,14C (calibrated),4,350,,,,,
19995,Akutan,Confirmed,Isotopic,14C (uncalibrated),5,340,,,,,
18162,Izu-Oshima,Confirmed,Isotopic,14C (calibrated),4,340,,,,,
17876,Nasudake,Confirmed,Isotopic,14C (calibrated),2,330,,,,,
16011,Tengger Caldera,Confirmed,Isotopic,14C (uncalibrated),3,330,,,,,
14838,Taveuni,Confirmed,Isotopic,14C (calibrated),2,320,,,,,
17589,Miyakejima,Confirmed,Correlation,Tephrochronology,3,320,,,,,
15014,Witori,Confirmed,Isotopic,14C (calibrated),5,310,,,,,
10054,Vesuvius,Uncertain,Uncertain,Unspecified,2,303,,,,,
20579,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,300,,,,,
17948,Zaozan [Zaosan],Confirmed,Isotopic,14C (calibrated),4,300,,,,,
17424,Fujisan,Confirmed,Correlation,Tephrochronology,1,300,,,,,
12415,Pelee,Confirmed,Isotopic,14C (uncalibrated),4,300,,,,,
11814,Parinacota,Confirmed,Isotopic,Cosmic Ray Exposure,4,290,,,,,
22200,Mono-Inyo Craters,Confirmed,Isotopic,14C (calibrated),3,290,,,,,
17020,Ata,Confirmed,Correlation,Tephrochronology,3,270,,,,,
14837,Taveuni,Confirmed,Correlation,Tephrochronology,1,270,,,,,
12657,Katla,Confirmed,Isotopic,14C (uncalibrated),3,270,,,,,
11299,"Tolima, Nevado del",Confirmed,Isotopic,14C (calibrated),3,260,,,,,
17588,Miyakejima,Confirmed,Correlation,Tephrochronology,4,260,,,,,
14554,Taupo,Confirmed,Correlation,Tephrochronology,0,260,,,,,
22349,Quetrupillan,Confirmed,Isotopic,14C (calibrated),3,255,,,,,
13626,Etna,Confirmed,Observations,Reported,3,252,2,1,252,2,9
13420,Stromboli,Confirmed,Observations,Reported,2,250,,,,,
18161,Izu-Oshima,Confirmed,Correlation,Tephrochronology,3,250,,,,,
17423,Fujisan,Confirmed,Correlation,Tephrochronology,2,250,,,,,
17875,Nasudake,Confirmed,Isotopic,14C (calibrated),3,250,,,,,
19008,Gorely,Confirmed,Correlation,Tephrochronology,3,250,,,,,
18345,Mutnovsky,Confirmed,Correlation,Tephrochronology,2,250,,,,,
19549,Sheveluch,Confirmed,Correlation,Tephrochronology,4,250,,,,,
12938,Krafla,Confirmed,Correlation,Tephrochronology,0,250,,,,,
18936,Ksudach,Confirmed,Isotopic,14C (calibrated),6,240,,,,,
14553,Taupo,Confirmed,Isotopic,14C (calibrated),6,233,3,15,,,
19548,Sheveluch,Confirmed,Correlation,Tephrochronology,3,230,,,,,
20536,St. Helens,Confirmed,Correlation,Tephrochronology,0,230,,,,,
10053,Vesuvius,Confirmed,Observations,Reported,2,222,,,235,,
14836,Taveuni,Confirmed,Isotopic,14C (calibrated),0,220,,,,,
10571,"Orizaba, Pico de",Confirmed,Isotopic,14C (uncalibrated),3,220,,,,,
17421,Fujisan,Confirmed,Correlation,Tephrochronology,2,220,,,,,
11691,Darwin,Confirmed,Isotopic,Cosmic Ray Exposure,0,210,,,,,
10052,Vesuvius,Confirmed,Observations,Reported,4,203,,,,,
14156,"Arhab, Harra of",Confirmed,Correlation,Anthropology,2,200,,,,,
14063,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,200,,,,,
20516,Adams,Confirmed,Correlation,Tephrochronology,2,200,,,,,
20471,Glacier Peak,Confirmed,Isotopic,14C (uncalibrated),4,200,,,,,
10494,Chichinautzin,Confirmed,Isotopic,14C (calibrated),3,200,,,,,
17420,Fujisan,Confirmed,Correlation,Tephrochronology,2,200,,,,,
19007,Gorely,Confirmed,Correlation,Tephrochronology,3,200,,,,,
20407,Wrangell,Confirmed,Isotopic,14C (uncalibrated),4,190,,,,,
16010,Tengger Caldera,Confirmed,Isotopic,14C (uncalibrated),2,190,,,,,
11528,Cotopaxi,Confirmed,Isotopic,14C (uncalibrated),4,180,,,,,
10051,Vesuvius,Confirmed,Observations,Reported,3,172,,,,,
19547,Sheveluch,Confirmed,Isotopic,14C (calibrated),3,170,,,,,
12339,Liamuiga,Confirmed,Isotopic,14C (uncalibrated),4,160,,,,,
20875,Calbuco,Confirmed,Correlation,Tephrochronology,4,160,,,,,
12528,Hengill,Confirmed,Isotopic,14C (calibrated),2,150,,,,,
11527,Cotopaxi,Confirmed,Correlation,Tephrochronology,4,150,,,,,
11678,Wolf,Confirmed,Isotopic,Cosmic Ray Exposure,0,150,,,,,
11006,Masaya,Confirmed,Correlation,Tephrochronology,5,150,,,,,
12853,Bardarbunga,Confirmed,Correlation,Tephrochronology,2,150,,,,,
12686,Torfajokull,Confirmed,Correlation,Tephrochronology,3,150,,,,,
13419,Stromboli,Confirmed,Observations,Reported,2,150,,,,,
14442,Taranaki,Confirmed,Correlation,Tephrochronology,3,150,,,,,
15006,Krummel-Garbuna-Welcker,Confirmed,Isotopic,14C (uncalibrated),2,150,,,,,
17019,Ata,Confirmed,Correlation,Tephrochronology,4,150,,,,,
14062,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,150,,,,,
19871,Kilauea,Confirmed,Correlation,Magnetism,0,150,,,,,
18712,Mashu,Confirmed,Isotopic,14C (calibrated),4,150,,,,,
18160,Izu-Oshima,Confirmed,Isotopic,14C (calibrated),3,150,,,,,
13878,Milos,Confirmed,Isotopic,14C (calibrated),1,140,,,,,
10570,"Orizaba, Pico de",Confirmed,Isotopic,14C (uncalibrated),3,140,,,,,
12413,Pelee,Confirmed,Isotopic,14C (uncalibrated),4,130,,,,,
17018,Ata,Confirmed,Correlation,Tephrochronology,4,130,,,,,
14212,"Fournaise, Piton de la",Confirmed,Isotopic,14C (calibrated),0,120,,,,,
19546,Sheveluch,Confirmed,Isotopic,14C (calibrated),3,120,,,,,
12098,Villarrica,Confirmed,Isotopic,14C (uncalibrated),0,110,,,,,
11615,Tungurahua,Confirmed,Isotopic,14C (uncalibrated),3,100,,,,,
20846,Tenchozan,Uncertain,Uncertain,Unspecified,3,100,,,,,
19545,Sheveluch,Confirmed,Correlation,Tephrochronology,4,100,,,,,
10157,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,100,,,,,
